+---------------------+-----------+
| Attribute           | Frequency |
| squarish.s.01       |         1 |
| creamy.s.01         |         1 |
| lean.s.03           |         1 |
| visible.a.01        |         1 |
| elastic.a.01        |         1 |
| unmelted.a.01       |         1 |
| opaque.a.01         |         1 |
| aerodynamic.a.01    |         1 |
| green.a.03          |         1 |
| amateur.s.01        |         1 |
| fashioned.s.01      |         1 |
| fit.a.01            |         1 |
| boxlike.s.01        |         1 |
| sleek.s.01          |         1 |
| shapely.a.01        |         1 |
| stable.a.01         |         1 |
| imperfect.a.01      |         1 |
| outer.a.01          |         1 |
| unrecognizable.s.01 |         1 |
| stereophonic.s.01   |         1 |
| chunky.s.02         |         1 |
| adolescent.s.02     |         1 |
| hispanic.a.01       |         1 |
| stained.s.02        |         1 |
| aged.s.04           |         1 |
| satiny.s.01         |         1 |
| male.s.02           |         1 |
| dense.s.01          |         1 |
| adhesive.a.01       |         1 |
| stained.a.01        |         1 |
| conic.a.01          |         1 |
| pregnant.a.01       |         1 |
| afloat.s.03         |         1 |
| younger.s.01        |         1 |
| fluorescent.s.01    |         1 |
| color.a.01          |         1 |
| untrimmed.a.01      |         1 |
| victorian.a.01      |         1 |
| bleached.s.01       |         1 |
| layered.s.01        |         1 |
| indeterminate.a.01  |         1 |
| compressible.s.02   |         1 |
| ovular.a.01         |         1 |
+---------------------+-----------+
